"id","name","artist_image","description","genre","debut_year","image_url","official_site","twitter_url","instagram_url","youtube_url","created_at","updated_at"
"8","BE:FIRST",NULL,,,"0000",NULL,"https://befirst.tokyo/","https://twitter.com/BEFIRSTofficial","https://www.instagram.com/befirst__official/","https://www.youtube.com/channel/UChNkqst-cjAoIbXb-ukn_tQ","2025-02-21 00:28:32","2025-02-22 16:05:36"
"10","HANA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2025-02-21 19:51:00","2025-02-21 19:51:00"
