"id","name","address","capacity","access_info","latitude","longitude","created_at","updated_at"
"1","東京ドーム","東京都文京区後楽1-3-61","55000",NULL,NULL,NULL,"2025-02-20 21:10:35","2025-02-20 21:10:35"
"2","横浜アリーナ","神奈川県横浜市港北区新横浜3-10","17000",NULL,NULL,NULL,"2025-02-20 21:10:35","2025-02-20 21:10:35"
"3","さいたまスーパーアリーナ","埼玉県さいたま市中央区新都心8","37000",NULL,NULL,NULL,"2025-02-20 21:10:35","2025-02-20 21:10:35"
"7","有明アリーナ",,"0",NULL,NULL,NULL,"2025-02-21 00:12:45","2025-02-21 00:12:45"
"8","有明アリーナ",,"0",NULL,NULL,NULL,"2025-02-21 00:28:32","2025-02-21 00:28:32"
"9","有明アリーナ",,"0",NULL,NULL,NULL,"2025-02-21 00:29:08","2025-02-21 00:29:08"
"10","グランキューブ大阪",,"0",NULL,NULL,NULL,"2025-02-21 19:51:00","2025-02-21 19:51:00"
